#node	Mag_dTheta     	Mag_dOmega
1    	0.003192       	0.002334
2    	0.003121       	0.001905
3    	0.003001       	0.001166
4    	0.003001       	0.001156
5    	0.002996       	0.001122
6    	0.003053       	0.001351
7    	0.002900       	0.001070
8    	0.003116       	0.002439
9    	0.003104       	0.002552
10   	0.003496       	0.004714
11   	0.003917       	0.007243
12   	0.003924       	0.007265
13   	0.004221       	0.009085
14   	0.004240       	0.009164
15   	0.003871       	0.006946
16   	0.003795       	0.006486
17   	0.004058       	0.008101
18   	0.003444       	0.004520
19   	0.004027       	0.008054
20   	0.004373       	0.010443
21   	0.004060       	0.008191
22   	0.003398       	0.004113
23   	0.004046       	0.008102
24   	0.004079       	0.008322
25   	0.004102       	0.008498
26   	0.004221       	0.009352
27   	0.004052       	0.008440
28   	0.003943       	0.008140
29   	0.004303       	0.010398
30   	0.004083       	0.008993
31   	0.004697       	0.012805
32   	0.007519       	0.023592
33   	0.009575       	0.030150
34   	0.004598       	0.012198
35   	0.004485       	0.011499
36   	0.004666       	0.012752
37   	0.004210       	0.009893
38   	0.005547       	0.017389
39   	0.005563       	0.017471
40   	0.004518       	0.011074
41   	0.004795       	0.013265
42   	0.004833       	0.013480
43   	0.004800       	0.013279
44   	0.004733       	0.012823
45   	0.004513       	0.011808
46   	0.003942       	0.008047
47   	0.003381       	0.005941
48   	0.003634       	0.006860
49   	0.003669       	0.007137
50   	0.004275       	0.011219
51   	0.005013       	0.015627
52   	0.005042       	0.015783
53   	0.005019       	0.015636
54   	0.006293       	0.020420
55   	0.003725       	0.006911
56   	0.005046       	0.015206
57   	0.005709       	0.017998
58   	0.006113       	0.019203
59   	0.005184       	0.015916
60   	0.006073       	0.019106
61   	0.007200       	0.022620
62   	0.006636       	0.020684
63   	0.006815       	0.021329
64   	0.021913       	0.068778
65   	0.006589       	0.021123
66   	0.007367       	0.023780
67   	0.009397       	0.029911
68   	0.006257       	0.020172
69   	0.004687       	0.013516
70   	0.004467       	0.011879
71   	0.005466       	0.016381
72   	0.004992       	0.014799
73   	0.006162       	0.017869
74   	0.006314       	0.018257
75   	0.005743       	0.016690
76   	0.004878       	0.014691
77   	0.010321       	0.031844
78   	0.005322       	0.016476
79   	0.004954       	0.014588
80   	0.004921       	0.014739
81   	0.005774       	0.018146
82   	0.006588       	0.020590
83   	0.005775       	0.018373
84   	0.006507       	0.020211
85   	0.008382       	0.026391
86   	0.010812       	0.033773
87   	0.006321       	0.019614
88   	0.005925       	0.018416
89   	0.006408       	0.019940
90   	0.004472       	0.011694
91   	0.004439       	0.011584
92   	0.003997       	0.008626
93   	0.004544       	0.011878
94   	0.005006       	0.014898
95   	0.008760       	0.027647
96   	0.012052       	0.037692
97   	0.012899       	0.040126
98   	0.010694       	0.033173
99   	0.013212       	0.041289
100  	0.004685       	0.013002
101  	0.003401       	0.005354
102  	0.003551       	0.004614
103  	0.004223       	0.008939
104  	0.004604       	0.011283
105  	0.004590       	0.010962
106  	0.004190       	0.008454
107  	0.004248       	0.010038
108  	0.004273       	0.011042
109  	0.003999       	0.009082
110  	0.007197       	0.023151
111  	0.010306       	0.032680
112  	0.011322       	0.035636
113  	0.010258       	0.032469
114  	0.008163       	0.025603
115  	0.006357       	0.019919
116  	0.009006       	0.028461
117  	0.011530       	0.037297
118  	0.005702       	0.018847
119  	0.007321       	0.024320
120  	0.006549       	0.022223
