#node	Mag_dTheta     	Mag_dOmega
1    	0.003411       	0.003459
2    	0.003289       	0.002742
3    	0.003087       	0.001613
4    	0.003007       	0.001192
5    	0.002998       	0.001146
6    	0.003002       	0.001168
7    	0.002983       	0.001067
8    	0.003124       	0.002572
9    	0.003342       	0.003875
10   	0.003693       	0.005957
11   	0.003889       	0.007088
12   	0.004207       	0.009102
13   	0.004573       	0.011412
14   	0.004196       	0.008797
15   	0.003880       	0.007045
16   	0.003825       	0.006702
17   	0.003848       	0.006844
18   	0.003661       	0.005712
19   	0.003220       	0.003367
20   	0.003358       	0.004049
21   	0.003447       	0.004308
22   	0.003246       	0.003439
23   	0.003619       	0.005327
24   	0.003656       	0.005575
25   	0.003664       	0.005618
26   	0.003684       	0.005740
27   	0.003678       	0.005712
28   	0.003646       	0.005708
29   	0.003921       	0.007355
30   	0.003334       	0.004397
31   	0.003487       	0.005619
32   	0.004187       	0.010429
33   	0.004610       	0.013354
34   	0.003840       	0.007601
35   	0.003904       	0.008006
36   	0.004031       	0.008792
37   	0.003824       	0.007510
38   	0.004742       	0.013141
39   	0.004916       	0.014215
40   	0.005267       	0.016261
41   	0.008222       	0.025828
42   	0.008885       	0.027930
43   	0.008885       	0.027930
44   	0.008761       	0.027537
45   	0.008562       	0.026909
46   	0.008523       	0.026788
47   	0.004967       	0.014660
48   	0.005215       	0.016259
49   	0.005056       	0.015370
50   	0.005511       	0.017245
51   	0.005061       	0.016020
52   	0.005117       	0.016308
53   	0.005069       	0.015962
54   	0.005130       	0.016341
55   	0.004800       	0.013990
56   	0.004724       	0.013100
57   	0.005099       	0.015476
58   	0.005676       	0.017828
59   	0.004745       	0.013243
60   	0.005441       	0.017079
61   	0.008427       	0.026385
62   	0.005841       	0.018330
63   	0.006161       	0.019282
64   	0.009668       	0.030191
65   	0.007236       	0.022646
66   	0.005328       	0.016965
67   	0.006839       	0.021450
68   	0.005777       	0.018718
69   	0.005067       	0.015832
70   	0.004988       	0.014878
71   	0.005717       	0.018120
72   	0.005349       	0.016544
73   	0.005547       	0.017228
74   	0.007075       	0.022366
75   	0.005386       	0.016661
76   	0.004804       	0.013716
77   	0.008666       	0.027085
78   	0.005172       	0.015949
79   	0.004920       	0.014258
80   	0.008133       	0.025389
81   	0.005810       	0.018283
82   	0.005514       	0.017202
83   	0.005449       	0.017024
84   	0.007235       	0.022594
85   	0.009601       	0.029978
86   	0.012352       	0.038898
87   	0.005198       	0.016255
88   	0.005148       	0.015993
89   	0.005138       	0.015957
90   	0.004930       	0.014557
91   	0.003410       	0.004930
92   	0.003553       	0.005895
93   	0.003641       	0.006340
94   	0.004206       	0.010412
95   	0.006769       	0.021252
96   	0.009454       	0.029692
97   	0.010478       	0.032916
98   	0.008903       	0.027967
99   	0.010874       	0.034163
100  	0.004423       	0.011089
101  	0.003353       	0.004702
102  	0.004533       	0.011833
103  	0.005768       	0.017837
104  	0.006513       	0.020292
105  	0.005964       	0.018353
106  	0.004720       	0.012674
107  	0.003763       	0.007263
108  	0.003636       	0.006896
109  	0.003586       	0.006081
110  	0.006320       	0.019634
111  	0.009866       	0.030805
112  	0.011273       	0.035308
113  	0.010263       	0.032140
114  	0.007296       	0.022741
115  	0.005196       	0.016392
116  	0.005967       	0.018524
117  	0.007593       	0.023679
118  	0.003763       	0.007166
119  	0.004069       	0.009096
120  	0.004534       	0.012309
